803:17,1119,6450,84,302,654,70,138,245,3389
813:17,616,302,654,542,518,61,84,650,29
815:302,654,58,542,8,15,76,29,84,508
817:616,58,29,1102,8,650,76,518,138,866
818:984,5480,8860,463,1326,9874,7994,2318,760,135
823:17,245,1744,94,654,616,1382,302,8,70
825:654,616,58,8,518,542,29,650,70,508
833:302,58,8,564,84,76,861,1196,508,238
835:616,654,302,518,58,542,101,84,15,564
838:8066,6344,9412,46541,50887,17077,15131,1902,862,8392
844:58,29,8,76,518,354,289,736,542,6
850:866,17,354,9482,302,654,9890,13468,657,70
856:6,138,364,162,486,301,70,327,394,1405
857:302,84,8,650,518,542,76,15,861,6
874:302,58,518,84,29,76,508,787,364,301
891:361,17,302,654,354,29,84,76,58,1102
899:17,616,302,654,8,518,58,84,542,32
900:2447,5598,8209,3829,24211,14964,16155,4126,37386,13388
911:76,43400,16701,7981,564,302,87631,20416,20836,698
918:17,302,616,654,58,8,542,518,70,84
925:17,302,654,616,84,58,8,29,564,1102
926:302,58,8,542,84,650,518,6,322,861
937:302,616,518,654,58,542,564,650,101,32
949:
964:2403,17,3207,970,947,616,302,10046,8,654
970:14636,2656,9093,50946,4300,5010,3535,45359,75359,32906
977:17,518,29,650,15,61,554,736,285,162
981:1002,4513,3618,3506,1340,1744,6315,14955,4856,29311
982:17,2162,875,10193,1119,84,302,354,70,654
984:17,654,58,616,29,15,650,542,245,8
992:17,508,564,302,245,76,616,8,70,65
993:654,84,616,58,29,76,1102,518,354,361
998:17,616,302,654,58,84,542,650,76,564
1000:17,58,542,8,518,84,29,101,61,70
1007:17,654,29,8,518,84,542,564,15,6
1027:168,1400,661,2318,1326,801,9874,7711,5557,760
1028:17,302,616,58,518,542,61,15,650,29
1044:17,654,616,302,84,58,8,542,518,29
1045:17,58,542,8,518,84,650,564,76,61
1049:76,564,40,81,2139,1069,17,508,616,30581
1068:8928,1256,6315,17,1002,441,65597,15305,35570,4513
1069:654,84,8,518,542,29,76,564,301,101
1070:17,616,58,542,518,84,15,32,650,861
1082:84,518,101,542,1102,650,15,6,138,285
1083:71491,4757,53428,16272,30459,1034,23414,8272,2558,21899
1088:17,616,8,302,542,564,654,84,58,15
1094:616,58,29,736,61,301,70,787,508,6
1116:302,654,76,58,616,564,29,650,8,84
1121:17,20884,1578,4913,7725,1372,16476,61,736,12223
1125:654,616,302,58,542,84,61,564,29,76
1127:17,302,8,654,616,542,58,518,84,61
1132:17,302,654,650,58,76,8,15,542,32
1133:8,15,518,76,650,354,508,61,32,101
1140:302,616,58,542,29,8,518,15,84,76
1141:9594,5512,17,4671,14259,7392,787,327,1382,16029
1148:44600,17,12670,76,77606,4976,641,11977,40934,2946
1153:17,616,654,58,542,518,564,76,650,29
1163:
1166:17,616,518,8,542,61,654,32,103,15
1172:17,616,302,654,58,8,518,76,65,327
1192:17,302,616,58,542,650,8,518,29,861
1204:17,654,302,616,58,61,15,29,542,322
1208:17,302,58,616,654,650,861,15,8,29
1209:17,168,76,719,302,661,564,654,70,463
1234:168,719,1400,574,2103,984,463,2632,661,8860
1236:32798,17,24625,54784,440,9015,3196,14718,53358,4852
1245:302,654,84,616,58,8,354,1187,518,542
1263:17,302,58,542,84,650,8,518,76,861
1267:13293,616,58,1204,302,654,542,518,101,8
1269:4755,3107,1352,2880,189,5624,8848,6434,7859,12990
1288:1017,67016,692,398,8213,98,138,4439,5568,9445
1295:616,542,15,861,518,101,564,61,76,6
1296:17,654,58,29,650,84,76,8,542,1102
1302:17,302,654,616,29,650,542,8,15,1196
1305:17,302,58,542,84,29,8,518,650,15
1342:518,22441,72675,39096,84,17,49357,302,2026,1102
1382:17,616,302,654,84,8,518,542,564,508
1389:75115,40853,4245,64179,99347,13750,1305,17231,2455,7807
1391:26376,3334,16823,55434,17631,1787,38915,32,39108,14511
1397:81,986,2379,1749,140,226,2967,3819,8283,1884
1402:616,302,58,8,84,518,650,564,61,76
1405:92558,4697
1407:302,486,542,17,58,616,495,518,285,1196
1408:17,654,518,302,616,6400,84,564,1359,354
1409:616,8,101,542,138,354,15,564,70,61
1412:654,17,302,58,44738,84,10510,616,146,542
1413:542,15,101,6,289,861,736,32,162,285
1418:654,542,76,15,650,564,289,138,736,61
1419:4755,4825,3172,6434,1712,23191,7880,7831,8848,12990
1420:654,302,58,616,29,8,354,518,650,15
1427:17,8,518,15,564,84,29,61,1196,354
1430:24893,17,302,654,58,8,518,736,542,650
1431:654,58,616,8,542,84,76,285,650,15
1435:616,302,58,61,84,29,76,101,364,564
1437:17,76,698,70,564,616,226,650,81,986
1441:6559,67843,17956,23529,6745,11713,30754,3307,21193,92079
1447:17,302,616,518,8,70,654,58,542,564
1448:42095,13895,8153,23365,1887,2548,44479,20642,8435,8077
1457:17,15,58,302,542,616,654,650,76,285
1458:17,616,302,15,58,84,650,101,76,861
1469:302,616,58,542,84,76,518,861,101,289
1477:17,302,616,654,736,84,518,245,76,542
1486:168,984,8783,719,5357,1528,76,9095,1651,5557
1490:17,302,616,654,866,76,8,58,542,650
1491:616,302,654,58,76,650,542,861,564,8
1500:302,58,518,15,84,29,61,650,564,76
1503:654,58,616,8,542,650,76,15,289,101
1517:77657,33783,10145,40762,13349,19400,35340,83895,52651,84360
1518:17,7315,72675,84,39096,8,518,302,616,508
1535:302,654,58,236,650,542,84,29,3448,15
1551:616,650,8,542,15,518,354,61,736,162
1552:29723,19245,54372,8892,9095,10698,43839,80012,34374,77024
1553:17,654,616,302,8,518,58,542,564,84
1559:302,654,616,29,84,15,76,8,650,6
1560:17,302,58,518,15,61,564,84,103,364
1561:17,616,542,58,15,518,61,76,84,29
1562:654,616,29,8,650,542,564,518,15,70
1569:986,81,3756,2967,36425,3819,1888,226,2379,5254
1570:17,302,84,654,616,8,27705,58,29,1102
1588:50311,10092,53,1187,1119,48,84,155,947,899
1589:654,616,58,84,8,542,518,650,76,15
1591:62108
1601:17,302,654,616,58,9019,542,8,650,899
1602:17,616,8,518,302,654,15,508,32,58
1629:17,616,8,302,518,654,58,15,84,61
1634:9662,8337,10783,9095,862,83050,46303,13782,39464,2717
1642:302,654,58,8,542,518,101,289,564,76
1653:17,654,616,302,58,8,101,84,564,542
1654:302,8,542,84,29,518,650,101,564,1102
1655:654,8,29,542,15,650,76,138,289,354
1668:616,15,8,650,29,518,84,861,76,564
1681:17,616,8,518,58,84,542,29,15,650
1703:302,654,1119,84,518,58,616,736,301,542
1721:34700,60527,15,61,245,302,58,15334,9154,4967
1727:17,58230,302,654,5315,58,616,650,29,542
1728:302,616,58,84,542,76,6,650,354,15
1745:17,302,245,654,8,616,518,58,84,1382
1746:17,616,654,302,58,542,8,15,61,518
1751:206,8,84,32771,616,302,654,40315,24428,518
1756:1733,7535,8,302,616,654,58,2076,1102,6393
1758:17,302,616,654,58,8,650,542,518,76
1761:25716,23824,19433,10904,34319,68455,34553,83706,13895,10995
1767:616,58,84,8,354,70,76,518,542,61
1779:17395,8635
1780:13960,67574,3041,64,10404,32648,1772,9354,10246,10503
1783:17,302,58,8,84,650,518,15,542,29
1787:616,518,15,29,564,101,61,76,32,354
1788:17,508,780,140,616,302,2967,2241,654,500
1794:17,616,654,302,58,15,518,8,564,245
1796:654,8,29,542,650,84,15,61,285,861
1803:17,654,616,302,58,8,76,518,29,542
1820:2880,23191,1352,10041,189,6434,1712,7831,5624,17
1821:17,518,654,616,542,302,8,61,15,58
1822:17,616,302,654,58,8,84,518,29,61
1823:17,84,650,542,6,15,76,138,289,285
1840:616,542,650,564,861,61,301,354,736,322
1841:984,463,8860,1400,3211,574,1124,801,7838,2103
1842:17,302,58,616,8,29,518,84,6,542
1850:17,302,616,29,58,66743,654,84,21024,27204
1853:17,302,54105,616,654,58,76,542,72504,650
1854:17,654,302,542,8,84,650,32,861,101
1862:302,616,542,650,301,1102,15,736,564,508
1880:17,875,84,354,1119,4420,302,22283,43705,66145
1883:302,654,8,58,518,542,76,29,101,32
1890:3448,654,302,616,8,58,84,518,776,4203
1891:17,302,654,58,43505,29,616,650,2351,285
1893:616,302,654,58,15,61,29,84,861,76
1894:654,616,58,564,542,508,70,8,518,84
1911:78658,13392,13581,29000,22420,741,8345,17271,10572,29654
1912:17,302,8,654,616,76,58,138,84,650
1913:17,302,616,654,58,542,5662,861,8,66665
1930:197,5111,2548,5627,7160,27094,8069,33763,465,6754
1932:9354,3041,64,5097,3568,1609,42440,890,27711,17
1950:542,15,61,861,301,32,554,162,1196,363
1951:1360,2121,31609,18044,56527,50431,22292,58630,8191,23464
1952:17,616,542,84,162,8,76,861,15,6
2005:302,542,15,518,650,76,564,29,61,1196
2017:11246,47586,23213,13894
2025:10075,17064,5415,236,6766,33660,776,32452,10007,23175
2030:17,58,302,654,616,8,15,650,3423,542
2034:6186,9914,77758,121163,6125,19908,6484,24432,88548,21620
2038:12222,62981,17,9929,654,302,84,542,131,29
2046:27296,10492,11199,13889,14117,9101,62962,5545,25662,9289
2058:12597,17944,48176,52829,65161,55235,12495,25649,18453,8794
2068:17,245,616,302,654,542,15,8,58,564
2070:13580,84,54155,2076,302,654,616,58,354,101
2071:302,616,518,58,70,650,76,101,61,508
2072:302,654,518,1102,616,58,354,29,736,650
2074:10180,5975,533,76,17,603,4671,262,2510,11468
2075:654,302,8,542,84,15,61,650,32,76
2076:
2077:17,654,616,58,518,15,650,29,32,564
2080:17,654,58,542,518,650,564,15,861,1196
2085:17,654,302,616,8,58,542,518,84,76
2097:616,302,654,58,564,84,15,508,32,70
2112:17,76,5480,1400,226,984,463,302,2153,8860
2115:17,616,302,8,654,58,542,245,564,84
2116:17,616,302,8,654,1187,58,1119,650,84
2123:17,654,899,616,48,58,8,518,29,76
2135:17,302,616,654,58,76,564,8,650,84
2141:31978,698,2204,9121,46823,22008,4721,27673,3423,81
2147:12673,109031,42335,728,23833,35619,6059,12462,17030,10987
2154:719,5480,463,661,8860,1326,2103,17,1528,2318
2160:17,302,15,8,861,29,554,650,518,84
2162:719,5480,661,1400,463,1528,760,10267,801,2103
2170:17,302,58,542,8,564,650,15,76,518
2177:17917,54962,459,46328,4009,59341,14431,14500,2596,80950
2184:58,616,6,84,542,1102,8,322,650,14965
2185:17,302,616,8,564,654,542,76,58,650
2187:
2211:17,302,654,5111,8069,616,14793,226,1539,13049
2223:31711,11469,4237,81,11470,17,5812,652,2337,23454
2243:17,654,616,245,8,58,15,302,518,542
2244:17,616,302,654,58,8,518,84,542,101
2247:302,654,58,616,84,650,29,518,11447,12575
2250:49715,22792,4103,7838,57782,21826,35752,20514,25018,34319
2253:986,226,17,70,76,616,2967,2204,302,1884
2260:
2261:616,654,302,58,542,15,76,32,29,61
2262:
2290:29,542,650,518,15,6,1102,162,285,138
2291:17,616,542,29,8,15,76,518,162,84
2293:17,939,19925,616,84,5010,58,4613,101,3535
2301:4032,27698,429,1036,3619,53623,53460,21306,7611,6079
2302:16229,33882,39395,15642,1524,245,2403,2714,2696,1827
2304:719,76,5480,1528,984,17,661,574,1326,463
2318:654,84,15,29,76,101,564,61,1102,289
2325:84,8,899,654,302,616,58,736,354,301
2335:17,302,654,616,8,84,15,518,542,29
2343:50020,26523,9500,67459,53364,26302,17352,14476,19561,16833
2346:70,17,76,81,616,138,302,654,354,986
2347:2186,7728,42767,11359,12992,34298,22594,15512,45977,1286
2348:17,302,654,616,58,542,76,8,84,650
2362:
2363:17,616,302,650,542,29,84,8,518,76
2364:302,616,29,650,84,8,76,354,1102,138
2369:17,37386,5598,14964,11644,616,8209,76,4941,8
2373:17,84,302,616,654,1102,58,138,76,354
2381:17,302,58,654,616,29,650,8,84,542
2382:17,119,8,12776,131,302,15486,654,518,327
2384:17,1119,4420,84,302,6945,354,245,947,736
2385:17,302,58,616,29,8,518,542,15,861
2392:
2393:17,302,654,616,8,508,542,76,84,58
2394:616,302,654,58,542,84,564,76,15,70
2395:17,616,84,8,650,15,76,289,518,1102
2399:17,76,226,302,654,616,564,1023,650,58
2405:17,58,302,654,542,8,15,518,650,84
2407:18966,17,866,76,18287,15724,616,302,1730,10039
2408:302,654,84,58,616,29,354,1102,8,301
2419:44167,17224,13874,11132,13246,568,28512,24300,5260,15161
2429:18820,9482,13817,9890,13468,354,657,149,3509,2051
2447:29,84,354,76,8,1102,542,289,285,518
2452:12832,2282,24481,10127,25216,77590,30791,27927,19376,35268
2453:71417,23740,4535,47321,56244,78361,20408,3911,25812,22999
2454:1352,3107,1527,2880,17,508,564,189,6434,76
2456:17,76,616,58,29,650,8,84,736,70
2461:542,518,29,61,6,101,289,1196,138,554
2464:654,616,8,58,518,354,76,650,542,301
2465:616,58,542,8,84,518,15,301,354,327
2469:616,302,58,542,61,518,245,8,84,29
2489:168,719,984,801,1326,1528,1400,8860,760,5738
2491:
2499:1097,13523,73474,58941,1274,15250,302,23323,9250,92351
2500:76,654,616,84,8,542,508,58,81,7334
2501:931,22827,947,21494,6691,3169,9741,6278,19687,7620
2505:17,654,616,58,29,542,84,518,15,6
2510:30139,40898,30152,1460,3683,55379,297,5738,52399,12140
2515:17,302,616,654,650,58,8,12361,84,564
2518:5097,3568,10254,890,40,56946,4743,361,4880,5670
2520:17,616,302,654,58,84,542,15,650,564
2521:654,616,8,302,58,518,84,542,15,101
2524:302,17,654,616,58,8,138,650,84,1102
2536:17,302,542,8,15,518,564,76,84,32
2541:302,654,58,8,518,84,15,76,564,29
2547:17,302,616,654,58,650,67346,8,29,518
2553:50469,19507,8960,36848,44578,31397,37961,9134,8895,30888
2558:17,76,661,616,1528,70,58,5557,8,81
2560:616,58,84,15,76,787,29,101,289,861
2563:302,58,654,15,650,861,564,29,84,6
2573:616,58,8,29,518,76,84,861,6,285
2591:616,654,17,302,58,542,8,861,564,29
2596:302,17,616,654,9906,5343,30301,19233,84,21929
2597:3423,780,262,3137,17,2241,5767,226,500,76
2601:7334,1077,17,36266,11855,7468,83175,32661,12861,8867
2604:12332,8167,26342,367,3477,14841,23528,582,10048,349
2611:654,302,8,616,84,518,245,1119,542,58
2612:17,302,654,58,542,15,518,861,29,101
2615:8,542,650,518,61,32,29,84,76,245
2625:17,81,226,616,8117,76,508,302,774,2714
2626:302,616,84,518,76,6,101,289,564,138
2634:42194,18477,17,654,616,58,302,3993,8213,10918
2636:654,616,58,542,84,29,8,138,650,861
2639:26621,35688,41626,17398,54045,9425,4976,17,70,32432
2650:90235,86115,10451,14600,23102,2123,25716,17510,28502,56125
2661:8020,27190,28738,20665,51714,22934,44779,47128,30521,19039
2663:17,51191,84,27788,302,899,4600,8,654,931
2666:17,58,616,654,302,542,29,650,8,1196
2676:12821,17,654,302,616,58,3244,4254,10279,354
2689:17,616,302,654,58,542,8,15,518,84
2693:790,21813,10408,42901,10567,24141,88166,3840,77382,24174
2708:17,302,654,616,8,58,542,84,32,15
2709:17,245,616,654,542,518,8,61,15,302
2713:8,17,245,616,364,61,58,542,654,14768
2715:984,1400,661,2153,760,801,10267,5557,9874,2103
2716:16542,5381,3789,13400,500,39336,21085,19945,4238,44717
2727:616,58,29,84,301,15,354,8,101,650
2730:17,616,654,58,8,542,518,15,650,84
2731:616,29,650,84,8,76,1102,285,518,542
2734:564,4017,76,1069,736,10749,698,2414,5022,8981
2735:1527,3107,1712,3172,12990,8848,4825,24581,3328,16174
2737:40488,38152,17,654,302,84,616,58,70,650
2745:17,245,654,616,518,61,4268,564,15,302
2746:27209,24118,5595,16151,4158,22338,35685,7687,13987,20922
2748:5287,32274,43178,7320,77961,19106,37591,2711,19872,38103
2756:616,302,654,650,58,861,8,29,394,15
2760:29,84,76,650,542,8,518,564,6,15
2776:
2799:4189,62976,21474,9043,76,13060,76185,10163,4513,508
2802:32162,20296,62961,302,67746,654,34572,7770,20972,84
2803:2074,88529,11718,33572,19829,14237,670,347
2804:17,302,654,650,616,58,84,508,224,29
2805:3014,4348,53520,14158,37533,3191,4707,107142,873,27577
2812:302,654,8,29,650,542,15,289,101,354
2815:984,30976,8252,12136,1682,463,27295,10597,10752,1400
2827:8964,17390,13510,7059,62155,19691,2428,17,64982,616
2831:654,58,84,76,29,8,138,542,354,101
2846:616,302,654,542,518,15,84,61,29,322
2848:17,616,654,8,518,650,15,76,29,84
2853:18850,68624,5738,25669,34823,38736,69173,29165,75173,27420
2854:302,84,1119,654,189,1527,8,35144,70,3107
2857:4797,37464,7193,32426,353,601,1951,2268,41612,8694
2858:17,29,84,542,15,1102,101,650,6,354
2861:76253,34070,19736,24175,58924,4040,24275,68246,12562,533
2871:378,189,1527,4755,13660,3107,18820,2068,2715,829
2907:302,654,58,84,616,8,76,70,138,650
2912:226,11390,70,11563,508,1382,3789,76,17990,1007
2914:17,302,654,58,8,542,518,61,15,650
2924:168,984,1400,2028,9265,1002,574,5480,1528,24652
2925:12165,38729,54442,7851,15337,8819,11973,16669,19023,168
2947:2741,10829,16883,32523,84583,47094,39466,51993,95111,51818
2951:12712,1184,11919,3,33253,26115,1879,7682,13062,1265
2959:616,17,45012,654,302,486,861,7428,650,1050
2960:17,302,654,8,616,58,518,84,76,32
2963:17,616,58,654,302,542,8,564,861,650
2965:29174,17317,37158,29475,18240,2512,698,14885,135,5557
2967:616,302,245,564,654,8,58,518,542,508
2970:616,17,302,654,58,8,542,9879,518,84
2977:17,302,654,84,616,58,8,29,518,378
2981:29,650,8,542,518,84,101,861,289,285
2989:17,616,302,654,76,58,650,8,542,564
2990:22420,29000,13581,16717,7732,89392,37591,37666,70277,60650
3002:
3004:168,984,8860,1400,463,574,1326,2833,801,9874
3011:60691,54846,42139,65157,69196,59912,38342,43121,13750,35273
3013:4755,17,508,3107,1527,70,1352,76,2880,8772
3037:
3038:247,50306,69606,6503,37869,10492,7021,17567,10386,7397
3044:302,654,616,58,8,650,289,76,84,542
3070:8783,10692,4146,26437,2354,8129,11653,12093,2528,6117
3081:17,28651,650,54538,76,616,654,302,508,30056
3100:302,616,29,84,650,76,8,542,518,101
3102:984,168,1400,574,5480,14754,463,719,2153,5557
3105:17,654,418,302,58,84,8,650,1102,564
3107:70,17,76,2967,654,616,302,1023,8,140
3110:17,616,16763,302,654,8,4021,518,58,15
3111:616,58,302,654,542,101,564,29,861,32
3113:13832,302,17,654,17883,58,42785,70833,616,15
3121:8,542,101,564,70,15,6,861,899,322
3125:17,302,654,616,58,84,29,650,8,76
3126:
3129:616,302,542,8,29,518,61,84,861,76
3139:361,9739,17,354,83826,84,302,654,58,12714
3144:22215,68700,38046,17,5480,16746,463,15931,76,719
3152:17,8,616,302,58,518,654,84,76,542
3166:
3167:76,17,564,302,70,508,226,654,616,81
3169:616,654,8,302,518,542,84,58,15,61
3170:17,654,616,302,58,8,564,5553,650,518
3172:7769,48214,616,302,17,654,58,29,861,15
3176:616,58,650,542,76,84,15,8,518,138
3183:10692,76,17,6901,4146,654,1651,8783,616,58
3184:8935,5145,7548,8273,32365,8694,10175,26170,4589,24599
3193:58,8,518,76,61,6,138,285,289,554
3195:17,105,84,245,8,363,302,6789,20436,908
3220:616,84,650,76,8,1102,138,542,6,285
3229:17,42170,616,39433,302,654,58,81,37656,29
3234:1102,302,518,616,654,354,62411,58,1762,138
3237:41101,110318,54099,34096,54494,34957,2453,952,352,24112
3238:17,616,302,8,1190,654,76,58,119,542
3239:17,58,616,8,84,518,29,1102,542,322
3246:603,533,8772,5319,11681,17835,1931,51099,24419,911
3258:17,654,58,8,542,84,15,564,29,61
3263:17,616,302,542,564,8,654,58,76,508
3264:
3277:168,719,76,1528,10267,984,5480,2318,463,1400
3279:17,654,302,616,58,564,650,84,138,70
3295:1730,5812,81,5097,76,2292,17,3568,2139,6916
3305:57774,805,5726,22801,28166,33223,18892,4979,10543,2139
3306:6901,1651,28996,40719,8927,38583,27747,57791,41174,28389
3308:17,616,302,542,65,654,58,8,32,15
3309:302,616,29,542,84,650,861,518,76,564
3319:
3320:3196,2548,10541,13995,6754,7160,14793,5111,197,8069
3328:616,58,8,84,29,650,76,138,1102,518
3329:429,71654,17,12090,55262,22529,26360,43268,68549,31978
3335:654,616,58,542,84,8,15,518,61,6
3346:17,245,616,542,518,8,15,787,654,61
3352:17,302,616,76,58,542,654,8,15,508
3353:16624,67872,12455,17,11588,11821,302,38719,21742,654
3360:302,84,654,616,8,58,518,29,650,226
3374:23631,58,17,616,37780,9741,6278,775,22827,518
3376:17,616,654,302,58,84,226,76,15,3423
3383:138,8266,17,21372,70,654,84,7375,1762,3594
3386:12253,14750,14336,4203,776,28120,11003,8442,8861,8197
3411:17,654,302,58,9536,616,84,29,20119,13009
3412:6921,129,21113,62680,28894,12039,2051,16258,1007,1355
3413:17,302,654,8,616,84,1744,518,15,58
3416:4755,1352,2880,4568,10041,1923,189,3172,12990,6706
3419:17,654,616,650,29,15,8,84,564,518
3421:17,8,84,861,542,650,518,564,101,76
3423:17,76,8,616,564,650,58,302,518,84
3426:616,654,302,17,58,101,861,6,542,8
3428:17,302,654,8,58,542,84,15,650,101
3429:302,654,650,76,542,564,8,84,518,861
3431:34500,1730,683,2139,76
3432:58,17,31890,52037,302,23490,564,2176,654,8081
3450:2265,1913,17,76,698,58,564,54506,616,226
3453:168,719,661,760,5480,463,1528,10267,7994,2642
3475:17,3461,1048,245,1329,616,14618,542,7990,34145
3478:650,8,84,15,518,289,101,6,61,70
3479:22719,72699,44407,9437,17,654,302,616,8,58
3480:17,654,302,616,29,650,542,15,6,76
3490:17,542,84,6,61,289,1102,162,1196,138
3500:616,654,58,8,542,15,518,650,84,61
3514:302,616,29,8,84,650,542,354,518,15
3529:
3546:58,17,302,654,861,8,650,84,591,29
3547:302,654,616,29,84,8,542,15,301,76
3551:7669,42146,34441,801,25568,5738,9878,11467,219,29087
3557:168,719,984,1400,8860,5480,661,574,8733,1326
3572:19012,3360,138,1069,901,238,17,76
3579:17,29,58,616,8,354,6,15,518,239
3580:641,12586,76,17,780,3137,500,226,5663,3423
3593:17,654,616,84,58,518,76,542,29,15
3599:81,17,564,76,616,698,70,40,5663,542
3609:17,302,654,616,8,58,84,518,542,29
3610:17,302,654,8,616,76,508,518,58,736
3613:2630,5145,16715,47577,986,7037,2512,76,6654,36706
3628:17,542,616,650,103,327,62,409,245,76
3656:17,616,654,58,542,8,84,76,564,29
3657:17,616,58,84,8,564,542,1102,354,101
3663:58,542,650,564,76,32,363,364,245,1102
